Plate,Time,Temperature,Row,Column,Luminescence
# Luminescence of evolved V. harveyi
# Eric Bruger - 2012/06/27

Plate1,10:45:00,30.0,3,6,1731.969
Plate1,10:45:00,30.0,3,7,999.362
Plate1,10:45:00,30.0,3,8,579.9
Plate1,10:45:00,30.0,3,9,359.538
Plate1,10:45:00,30.0,3,10,284.151
Plate1,10:45:00,30.0,3,11,187.501
Plate1,10:45:00,30.0,4,0,3707.496
Plate1,10:45:00,30.0,4,1,469624.625
Plate1,10:45:00,30.0,4,2,731538.563
Plate1,10:45:00,30.0,4,3,4687.528
Plate1,10:45:00,30.0,4,4,614375.438
Plate1,10:45:00,30.0,4,5,683194.188
Plate1,10:45:00,30.0,4,6,1766.763
Plate1,10:45:00,30.0,4,7,931.707
Plate1,10:45:00,30.0,4,8,577.967
Plate1,10:45:00,30.0,4,9,334.409
Plate1,10:45:00,30.0,4,10,792.531
Plate1,10:45:00,30.0,4,11,618.56
Plate1,10:45:00,30.0,5,0,2826.048
Plate1,10:45:00,30.0,5,1,473753.5
Plate1,10:45:00,30.0,5,2,751889.187
Plate1,10:45:00,30.0,5,3,4451.702
Plate1,10:45:00,30.0,5,4,653690.812
Plate1,10:45:00,30.0,5,5,718309.063
Plate1,10:45:00,30.0,5,6,2076.043
Plate1,10:45:00,30.0,5,7,908.511
Plate1,10:45:00,30.0,5,8,564.436
Plate1,10:45:00,30.0,5,9,355.672
Plate1,10:45:00,30.0,5,10,249.357
Plate1,10:45:00,30.0,5,11,299.615
Plate1,10:45:00,30.0,6,0,2592.155
Plate1,10:45:00,30.0,6,1,452142.563
Plate1,10:45:00,30.0,6,2,791015.062
Plate1,10:45:00,30.0,6,3,4175.283
Plate1,10:45:00,30.0,6,4,673250.812
Plate1,10:45:00,30.0,6,5,699410.062
Plate1,10:45:00,30.0,6,6,1992.924
Plate1,10:45:00,30.0,6,7,927.841
Plate1,10:45:00,30.0,6,8,608.895
Plate1,10:45:00,30.0,6,9,388.533
Plate1,10:45:00,30.0,6,10,293.816
Plate1,10:45:00,30.0,6,11,355.672
Plate1,10:45:00,30.0,7,0,1065.084
Plate1,10:45:00,30.0,7,1,1820.887
Plate1,10:45:00,30.0,7,2,1977.46
Plate1,10:45:00,30.0,7,3,1438.153
Plate1,10:45:00,30.0,7,4,1720.371
Plate1,10:45:00,30.0,7,5,1590.86
Plate1,10:45:00,30.0,7,6,896.913
Plate1,10:45:00,30.0,7,7,587.632
Plate1,10:45:00,30.0,7,8,390.466
Plate1,10:45:00,30.0,7,9,241.625
Plate1,10:45:00,30.0,7,10,168.171
Plate1,10:45:00,30.0,7,11,106.315
Plate1,11:00:00,30.0,0,0,2652.928
Plate1,11:00:00,30.0,0,1,1616.717
Plate1,11:00:00,30.0,0,2,1251.774
Plate1,11:00:00,30.0,0,3,1542.972
Plate1,11:00:00,30.0,0,4,1032.43
Plate1,11:00:00,30.0,0,5,589.96
Plate1,11:00:00,30.0,0,6,342.252
Plate1,11:00:00,30.0,0,7,240.144
Plate1,11:00:00,30.0,0,8,175.853
Plate1,11:00:00,30.0,0,9,170.181
Plate1,11:00:00,30.0,0,10,117.236
Plate1,11:00:00,30.0,0,11,92.654
Plate1,11:00:00,30.0,1,0,1016039.25
Plate1,11:00:00,30.0,1,1,3343.105
Plate1,11:00:00,30.0,1,2,2974.381
Plate1,11:00:00,30.0,1,3,627774.0
Plate1,11:00:00,30.0,1,4,2238.822
Plate1,11:00:00,30.0,1,5,892.503
Plate1,11:00:00,30.0,1,6,690.177
Plate1,11:00:00,30.0,1,7,474.615
