Update,NOT,NAND,AND,EPS,OR,ANDN,NOR,XOR,EQU
# Reaction counts - Low resource environment
# Brian Connelly - 2011/12/15

24400.0,192.0,6.0,24.0,33.0,2673.0,612.0,4181.0,0.0,0.0
24500.0,158.0,4.0,27.0,22.0,2530.0,618.0,3974.0,0.0,0.0
24600.0,179.0,3.0,30.0,33.0,2532.0,596.0,4026.0,0.0,0.0
24700.0,203.0,4.0,20.0,31.0,2579.0,575.0,4052.0,0.0,0.0
24800.0,164.0,2.0,22.0,31.0,2630.0,545.0,4000.0,0.0,0.0
24900.0,185.0,4.0,22.0,29.0,2685.0,579.0,4051.0,0.0,0.0
25000.0,186.0,5.0,21.0,32.0,2699.0,531.0,4082.0,0.0,0.0
25100.0,208.0,2.0,25.0,25.0,2723.0,577.0,4096.0,0.0,0.0
25200.0,193.0,3.0,26.0,24.0,2628.0,560.0,4046.0,0.0,0.0
25300.0,181.0,4.0,20.0,24.0,2525.0,478.0,3723.0,0.0,0.0
25400.0,157.0,5.0,15.0,23.0,2587.0,526.0,3933.0,0.0,0.0
25500.0,169.0,2.0,22.0,29.0,2729.0,487.0,4065.0,0.0,0.0
25600.0,185.0,2.0,11.0,20.0,2625.0,504.0,3930.0,0.0,0.0
25700.0,177.0,2.0,21.0,28.0,2701.0,441.0,4000.0,0.0,0.0
25800.0,168.0,9.0,15.0,27.0,2779.0,529.0,4188.0,0.0,0.0
25900.0,168.0,2.0,14.0,32.0,2920.0,498.0,4334.0,0.0,0.0
26000.0,171.0,4.0,9.0,29.0,2772.0,434.0,4074.0,0.0,0.0
26100.0,174.0,7.0,23.0,15.0,2681.0,517.0,4135.0,0.0,0.0
26200.0,180.0,4.0,24.0,24.0,2625.0,612.0,4116.0,0.0,0.0
26300.0,163.0,1.0,14.0,32.0,2557.0,466.0,4023.0,0.0,0.0
26400.0,160.0,1.0,27.0,35.0,2596.0,360.0,4043.0,0.0,0.0
26500.0,192.0,4.0,41.0,37.0,2560.0,447.0,4198.0,0.0,0.0
26600.0,153.0,0.0,35.0,32.0,2582.0,522.0,4243.0,0.0,0.0
26700.0,158.0,5.0,19.0,32.0,2667.0,426.0,4147.0,0.0,0.0
26800.0,179.0,1.0,18.0,35.0,2606.0,486.0,4026.0,0.0,0.0
26900.0,173.0,0.0,26.0,32.0,2810.0,467.0,4123.0,0.0,0.0
27000.0,156.0,5.0,21.0,17.0,2646.0,489.0,4007.0,0.0,0.0
27100.0,159.0,3.0,22.0,31.0,2796.0,474.0,4131.0,0.0,0.0
27200.0,153.0,8.0,32.0,40.0,2701.0,496.0,4220.0,0.0,0.0
27300.0,179.0,6.0,35.0,33.0,2540.0,512.0,3895.0,0.0,0.0
27400.0,165.0,12.0,34.0,31.0,2661.0,616.0,4162.0,0.0,0.0
27500.0,158.0,8.0,25.0,43.0,2493.0,749.0,4228.0,0.0,0.0
27600.0,152.0,2.0,28.0,29.0,2341.0,769.0,4049.0,0.0,0.0
27700.0,169.0,5.0,19.0,44.0,2617.0,541.0,4094.0,0.0,0.0
27800.0,160.0,4.0,28.0,42.0,2500.0,601.0,3975.0,0.0,0.0
27900.0,213.0,5.0,17.0,42.0,2480.0,683.0,4132.0,0.0,0.0
28000.0,159.0,6.0,20.0,36.0,2754.0,654.0,4272.0,0.0,0.0
28100.0,200.0,12.0,21.0,35.0,2673.0,585.0,4133.0,0.0,0.0
28200.0,202.0,5.0,29.0,42.0,2739.0,532.0,4159.0,0.0,0.0
28300.0,191.0,2.0,16.0,33.0,2718.0,550.0,4169.0,0.0,0.0
28400.0,183.0,3.0,19.0,33.0,2713.0,524.0,4135.0,0.0,0.0
28500.0,157.0,7.0,30.0,37.0,2492.0,803.0,4192.0,0.0,0.0
28600.0,170.0,8.0,28.0,33.0,2495.0,769.0,4150.0,0.0,0.0
28700.0,172.0,7.0,24.0,26.0,2341.0,733.0,3890.0,0.0,0.0
28800.0,210.0,6.0,19.0,31.0,2621.0,897.0,4317.0,0.0,0.0
28900.0,206.0,8.0,20.0,23.0,2600.0,733.0,4113.0,0.0,0.0
29000.0,149.0,2.0,25.0,36.0,2478.0,792.0,4053.0,0.0,0.0
29100.0,190.0,17.0,20.0,37.0,2552.0,700.0,4023.0,0.0,0.0
29200.0,160.0,12.0,25.0,33.0,2388.0,720.0,3970.0,0.0,0.0
29300.0,166.0,8.0,21.0,22.0,2484.0,797.0,4097.0,0.0,0.0
29400.0,163.0,7.0,23.0,31.0,2442.0,747.0,4031.0,0.0,0.0
29500.0,179.0,4.0,14.0,35.0,2588.0,734.0,4131.0,0.0,0.0
29600.0,188.0,5.0,29.0,26.0,2359.0,783.0,3942.0,0.0,0.0
29700.0,168.0,4.0,26.0,28.0,2482.0,773.0,4088.0,0.0,0.0
29800.0,156.0,3.0,24.0,31.0,2533.0,820.0,4107.0,0.0,1.0
29900.0,156.0,7.0,27.0,39.0,2515.0,806.0,4165.0,0.0,0.0
30000.0,175.0,1.0,18.0,33.0,2637.0,574.0,4031.0,0.0,0.0
30100.0,145.0,3.0,22.0,35.0,2426.0,878.0,4144.0,0.0,0.0
30200.0,139.0,2.0,24.0,23.0,2652.0,661.0,4089.0,0.0,0.0
30300.0,134.0,6.0,23.0,23.0,2721.0,701.0,4230.0,0.0,0.0
30400.0,185.0,5.0,21.0,34.0,2434.0,652.0,3887.0,0.0,0.0
30500.0,163.0,6.0,16.0,56.0,2409.0,798.0,4020.0,0.0,0.0
30600.0,153.0,5.0,28.0,29.0,2398.0,865.0,4058.0,0.0,0.0
30700.0,154.0,3.0,28.0,32.0,2691.0,756.0,4264.0,0.0,0.0
30800.0,188.0,6.0,17.0,31.0,2359.0,889.0,4034.0,0.0,0.0
30900.0,176.0,5.0,18.0,38.0,2364.0,913.0,4087.0,0.0,0.0
31000.0,150.0,6.0,19.0,30.0,2616.0,709.0,4175.0,0.0,0.0
31100.0,161.0,7.0,28.0,42.0,2498.0,918.0,4277.0,0.0,0.0
31200.0,173.0,2.0,33.0,25.0,2192.0,908.0,3858.0,0.0,0.0
31300.0,158.0,4.0,27.0,38.0,2282.0,884.0,3991.0,0.0,0.0
31400.0,155.0,1.0,20.0,44.0,2448.0,1069.0,4305.0,0.0,0.0
31500.0,173.0,4.0,20.0,42.0,2394.0,964.0,4241.0,0.0,0.0
31600.0,180.0,4.0,27.0,20.0,2398.0,1108.0,4344.0,0.0,0.0
31700.0,165.0,3.0,20.0,24.0,2184.0,1241.0,4161.0,0.0,0.0
